"","county_year","county","year","pop_county","pop_national","Bezirksverwaltung_im","county_im","Date_im","ims","imb","ime","fim","sum_im","year_im","day","month","typ_im","year_prisoners","tgs","parrests","ovs","opks","city_county","zersetz","zersetz_and_prevent","objektdienststellen","all26","initiated_telephone","realised_telephone","tapped_calls","transcribed_calls","initiated_roomcontrol","realised_roomcontrol","reports_roomcontrol","initiated_acustic","realised_acustic","reports_acustic","Hauptamtliche_Mitarbeiter_Abt26","territory_1988","cities","districtcapital","dist_border","protests53","poland","WGTV","dist_Berlin","districtcapital.1","WGTV_continuous","exits_89","pop_change_80to88","canton_year","district","Jahr.y","Wohnbevölkerung","mannlich","weiblich","percentage_employed_persons","percentage_construction_workers","percentage_farmers","industrial_productivity","available_flats","hospital_beds_per10000cit","theater_performances","theater_guests","canton.y","petition_sum","so2","staub","flats_per_ht","hospital_beds_per_ht","theater_perf_per_ht","theater_guests_per_ht","percentage_female","pop.log","ovs_clean","opks_clean","sum_im_clean","ims_clean","ims_impute","opks_impute","ovs_impute","sum_im_impute","imb_impute","ims_only_impute","zersetz_and_prevent_impute","realised_telephone_imputed","realised_roomcontrol_imputed","realised_acustic_imputed","abt26_imputed","pris_per_capita","opks_per_capita","ims_per_capita","total_ims_per_capita","ovs_per_capita","sum_im_impute_per_capita","opks_impute_per_capita","imb_impute_per_capita","ovs_impute_per_capita","pris_per_ht","opks_per_ht","ims_per_ht","total_ims_per_ht","imb_per_ht","ovs_per_ht","sum_im_impute_per_ht","opks_impute_per_ht","imb_impute_per_ht","ovs_impute_per_ht","ims_only_impute_per_ht","pop_change_yearly"
"571","Kamenz _ 1984","Kamenz",1984,61596,16659957,"Dresden","Kamenz","31/12/84",177,11,23,19,230,NA,NA,NA,NA,1984,1208,0,4,25,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,3,0,171.925875207,1,0,1,144.855224812,FALSE,0.576066499372647,190,-0.0104758522727273,"Dresden _ 1984","Dresden",1984,1783.2,831.8,951.4,912.4,6,7.9,205,20044,97,2795,1227,"Dresden",789,"2.5-25","2.5-25",32541.0740957205,970,4537.63231378661,1992.0124683421,0.533535217586362,11.0283522123483,4,25,230,177,177,25,4,230,11,177,1.25,1157.5,NA,145,48.5,0,0.000405870511072148,0.0028735632183908,0.00373400870186376,6.49392817715436e-05,0.00373400870186376,0.000405870511072148,0.000178583024871745,6.49392817715436e-05,0,40.5870511072148,287.35632183908,373.400870186376,17.8583024871745,6.49392817715436,373.400870186376,40.5870511072148,17.8583024871745,6.49392817715436,287.35632183908,-0.223539702595004
"572","Kamenz _ 1985","Kamenz",1985,61528,16640059,"Dresden","Kamenz","31/12/85",176,10,22,19,227,NA,NA,NA,NA,1985,1208,3,7,16,0,NA,1,0,NA,1248,1186,"",NA,6,"6",6,223,145,1813,48,617,3,0,171.925875207,1,0,1,144.855224812,FALSE,0.576066499372647,190,-0.0104758522727273,"Dresden _ 1985","Dresden",1985,1775.6,830.6,945,912.8,5.9,7.9,211,19979,97,2910,1399,"Dresden",397,NA,NA,32471.3951371733,970,4729.55402418411,2273.76153946171,0.532214462716828,11.0272476347369,7,16,227,176,176,16,7,227,10,176,1,1186,8,145,48,4.87582889091146e-05,0.000260044207515278,0.00286048628266805,0.003689377194123,0.000113769340787934,0.003689377194123,0.000260044207515278,0.000162527629697049,0.000113769340787934,4.87582889091146,26.0044207515278,286.048628266805,368.9377194123,16.2527629697049,11.3769340787934,368.9377194123,26.0044207515278,16.2527629697049,11.3769340787934,286.048628266805,-0.110396779011624
"573","Kamenz _ 1986","Kamenz",1986,61591,16639877,"Dresden","Kamenz","31/12/86",175,8,20,17,220,NA,NA,NA,NA,1986,1208,4,6,18,0,NA,2,0,1742,1189,1129,"177000",16100,NA,NA,NA,NA,NA,NA,49,617,3,0,171.925875207,1,0,1,144.855224812,FALSE,0.576066499372647,190,-0.0104758522727273,"Dresden _ 1986","Dresden",1986,1769,830.4,938.6,911.2,5.8,8,217,21113,97,2952,1433,"Dresden",789,"2.5-25","2.5-25",34279.3589972561,970,4792.90805474826,2326.6386322677,0.530582249858677,11.0282710349513,6,18,220,175,175,18,6,220,8,175,2,1129,NA,145,49,6.49445535873748e-05,0.000292250491143186,0.00284132421944765,0.00357195044730561,9.74168303810622e-05,0.00357195044730561,0.000292250491143186,0.00012988910717475,9.74168303810622e-05,6.49445535873748,29.2250491143186,284.132421944765,357.195044730561,12.988910717475,9.74168303810622,357.195044730561,29.2250491143186,12.988910717475,9.74168303810622,284.132421944765,0.102392406709141
"574","Kamenz _ 1987","Kamenz",1987,61448,16661423,"Dresden","Kamenz","31/12/87",178,8,18,16,220,1987,31,12,"Kreis",1987,1208,6,4,18,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,3,0,171.925875207,1,0,1,144.855224812,FALSE,0.576066499372647,190,-0.0104758522727273,"Dresden _ 1987","Dresden",1987,1766.7,832.3,934.3,912.1,5.8,8.1,227,21568,97,3078,1445,"Dresden",379,NA,NA,35099.5964067179,970,5009.11339669314,2351.58182528317,0.528839078507953,11.0259465676785,4,18,220,178,178,18,4,220,8,178,1,1157.5,NA,145,48.5,9.76435359979169e-05,0.000292930607993751,0.00289675823460487,0.00358026298659029,6.5095690665278e-05,0.00358026298659029,0.000292930607993751,0.000130191381330556,6.5095690665278e-05,9.76435359979169,29.2930607993751,289.675823460487,358.026298659029,13.0191381330556,6.5095690665278,358.026298659029,29.2930607993751,13.0191381330556,6.5095690665278,289.675823460487,-0.232176779074865
"575","Kamenz _ 1988","Kamenz",1988,61303,16674632,"Dresden","Kamenz","31/12/88",183,7,15,15,220,1988,31,12,"Kreis",1988,1208,10,3,16,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,3,0,171.925875207,1,0,1,144.855224812,FALSE,0.576066499372647,190,-0.0104758522727273,"Dresden _ 1988","Dresden",1988,1757.4,832,925.4,910.7,5.8,8.1,236,22237,96,3041,1368,"Dresden",369,"2.5-25","2.5-25",36273.91807905,960,4960.60551685888,2231.53842389443,0.526573346989871,11.0235840603679,3,16,220,183,183,16,3,220,7,183,1,1157.5,NA,145,48.5,0.000163124153793452,0.000260998646069524,0.00298517201442018,0.00358873138345595,4.89372461380357e-05,0.00358873138345595,0.000260998646069524,0.000114186907655417,4.89372461380357e-05,16.3124153793452,26.0998646069524,298.517201442017,358.873138345595,11.4186907655417,4.89372461380357,358.873138345595,26.0998646069524,11.4186907655417,4.89372461380357,298.517201442017,NA
"576","Karl-Marx-Stadt-Land _ 1983","Karl-Marx-Stadt-Land",1983,105400,16701487,NA,NA,"31/12/83",NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,1405,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,2,0,80.7881278064,0,0,1,189.359971805,FALSE,0.974917853231106,791,-0.0789685737308622,"Karl-Marx-Stadt _ 1983","Karl-Marx-Stadt",1983,1903,882.4,1020.5,972.7,6,5.8,189,22447,87,2621,904,"Karl-Marx-Stadt",NA,NA,NA,21296.9639468691,870,2486.71726755218,857.685009487666,0.536258539148713,11.5655179150894,NA,NA,NA,NA,211.75,54.3333333333333,18,240.25,12.5,211.75,0.5,864.5,NA,154,75.5,NA,NA,NA,NA,NA,0.00227941176470588,0.000515496521189121,0.000118595825426945,0.000170777988614801,NA,NA,NA,NA,NA,NA,227.941176470588,51.5496521189121,11.8595825426945,17.0777988614801,200.901328273245,NA
"577","Karl-Marx-Stadt-Land _ 1984","Karl-Marx-Stadt-Land",1984,104130,16659957,NA,NA,"31/12/84",NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,1405,7,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,2,0,80.7881278064,0,0,1,189.359971805,FALSE,0.974917853231106,791,-0.0789685737308622,"Karl-Marx-Stadt _ 1984","Karl-Marx-Stadt",1984,1889.1,877.3,1011.7,971.5,6,5.9,196,25058,87,2589,911,"Karl-Marx-Stadt",NA,NA,NA,24064.1505810045,870,2486.3151829444,874.867953519639,0.535546027208724,11.5533953975239,NA,NA,NA,NA,211.75,54.3333333333333,18,240.25,12.5,211.75,0.5,864.5,NA,154,75.5,6.72236627292807e-05,NA,NA,NA,NA,0.00230721213867281,0.000521783667851084,0.000120042254873716,0.00017286084701815,6.72236627292807,NA,NA,NA,NA,NA,230.721213867281,52.1783667851084,12.0042254873716,17.286084701815,203.351579756074,-1.20493358633776
"578","Karl-Marx-Stadt-Land _ 1985","Karl-Marx-Stadt-Land",1985,102885,16640059,NA,NA,"31/12/85",244,9,12,4,269,NA,NA,NA,NA,1985,1405,2,19,67,0,NA,0,0,NA,796,780,"",NA,4,"4",0,170,154,2260,75,291,2,0,80.7881278064,0,0,1,189.359971805,FALSE,0.974917853231106,791,-0.0789685737308622,"Karl-Marx-Stadt _ 1985","Karl-Marx-Stadt",1985,1875.9,873,1002.9,970.3,5.9,5.9,203,25671,87,2529,870,"Karl-Marx-Stadt",NA,NA,NA,24951.1590610876,870,2458.08426884385,845.604315497886,0.534623380777227,11.5413671386015,19,67,269,244,244,67,19,269,9,244,0,780,7,154,75,1.94391796666181e-05,0.000651212518831705,0.0023715799193274,0.00261456966516013,0.000184672206832872,0.00261456966516013,0.000651212518831705,8.74763084997813e-05,0.000184672206832872,1.94391796666181,65.1212518831705,237.15799193274,261.456966516013,8.74763084997813,18.4672206832872,261.456966516013,65.1212518831705,8.74763084997813,18.4672206832872,237.15799193274,-1.19562085854221
"579","Karl-Marx-Stadt-Land _ 1986","Karl-Marx-Stadt-Land",1986,101933,16639877,NA,NA,"31/12/86",221,12,12,4,249,NA,NA,NA,NA,1986,1405,7,NA,NA,0,NA,NA,0,1331,974,949,"360000",7840,NA,NA,NA,NA,NA,NA,76,291,2,0,80.7881278064,0,0,1,189.359971805,FALSE,0.974917853231106,791,-0.0789685737308622,"Karl-Marx-Stadt _ 1986","Karl-Marx-Stadt",1986,1866.3,870.7,995.6,965.3,5.9,6,210,26572,95,2550,830,"Karl-Marx-Stadt",NA,NA,NA,26068.1035582196,950,2501.64323624341,814.260347483151,0.533461930021969,11.5320710136925,NA,NA,249,221,221,54.3333333333333,18,249,12,221,0.5,949,NA,154,76,6.86725594262898e-05,NA,0.00216809080474429,0.00244278104244945,NA,0.00244278104244945,0.000533029866023107,0.000117724387587925,0.000176586581381888,6.86725594262898,NA,216.809080474429,244.278104244945,11.7724387587925,NA,244.278104244945,53.3029866023107,11.7724387587925,17.6586581381888,216.809080474429,-0.92530495213102
"580","Karl-Marx-Stadt-Land _ 1987","Karl-Marx-Stadt-Land",1987,101170,16661423,NA,NA,"31/12/87",194,14,11,5,224,NA,NA,NA,NA,1987,1405,12,17,50,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,2,0,80.7881278064,0,0,1,189.359971805,FALSE,0.974917853231106,791,-0.0789685737308622,"Karl-Marx-Stadt _ 1987","Karl-Marx-Stadt",1987,1863.3,871.2,992,962.6,5.9,6,216,26486,94,2527,820,"Karl-Marx-Stadt",NA,NA,NA,26179.6975387961,940,2497.77602055945,810.516951665513,0.532388772607739,11.5245575491999,17,50,224,194,194,50,17,224,14,194,0.5,864.5,NA,154,75.5,0.0001186122368291,0.000494217653454581,0.00191756449540378,0.00221409508747652,0.000168034002174558,0.00221409508747652,0.000494217653454581,0.000138380942967283,0.000168034002174558,11.86122368291,49.4217653454581,191.756449540378,221.409508747652,13.8380942967283,16.8034002174558,221.409508747652,49.4217653454581,13.8380942967283,16.8034002174558,191.756449540378,-0.748530897746559
"581","Karl-Marx-Stadt-Land _ 1988","Karl-Marx-Stadt-Land",1988,101727,16674632,NA,NA,"31/12/88",188,15,11,5,219,NA,NA,NA,NA,1988,1405,21,18,46,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,2,0,80.7881278064,0,0,1,189.359971805,FALSE,0.974917853231106,791,-0.0789685737308622,"Karl-Marx-Stadt _ 1988","Karl-Marx-Stadt",1988,1859.5,872,987.5,966.3,5.9,6,225,26218,93,2393,682,"Karl-Marx-Stadt",NA,NA,NA,25772.9019827578,930,2352.37449251428,670.421815250622,0.531056735681635,11.530048033527,18,46,219,188,188,46,18,219,15,188,1,864.5,NA,154,75.5,0.000206434869798579,0.000452190667177839,0.00184808359629204,0.00215282078504232,0.000176944174113067,0.00215282078504232,0.000452190667177839,0.000147453478427556,0.000176944174113067,20.6434869798579,45.2190667177839,184.808359629204,215.282078504232,14.7453478427556,17.6944174113067,215.282078504232,45.2190667177839,14.7453478427556,17.6944174113067,184.808359629204,NA
"582","Karl-Marx-Stadt _ 1983","Karl-Marx-Stadt",1983,318917,16701487,NA,NA,"31/12/83",NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,1431,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,1,1,81.6229675293,0,0,1,191.567592095,TRUE,0.969504882645194,2738,-0.0139136650599056,"Karl-Marx-Stadt _ 1983","Karl-Marx-Stadt",1983,1903,882.4,1020.5,972.7,6,5.8,189,22447,87,2621,904,"Karl-Marx-Stadt",NA,NA,NA,7038.50845204238,870,821.843928043974,283.459332679036,0.536258539148713,12.6726861598244,NA,NA,NA,NA,417.75,110,38.3333333333333,518.5,47.5,417.75,2.5,864.5,NA,154,75.5,NA,NA,NA,NA,NA,0.00162581486719115,0.000344917329587322,0.00014894157413998,0.000120198463341036,NA,NA,NA,NA,NA,NA,162.581486719115,34.4917329587322,14.894157413998,12.0198463341036,130.990194941003,NA
"583","Karl-Marx-Stadt _ 1984","Karl-Marx-Stadt",1984,317210,16659957,NA,NA,"31/12/84",NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,1431,24,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,1,1,81.6229675293,0,0,1,191.567592095,TRUE,0.969504882645194,2738,-0.0139136650599056,"Karl-Marx-Stadt _ 1984","Karl-Marx-Stadt",1984,1889.1,877.3,1011.7,971.5,6,5.9,196,25058,87,2589,911,"Karl-Marx-Stadt",4993,"250-500","25-100",7899.49875476813,870,816.178556792031,287.191450458687,0.535546027208724,12.6673192940971,NA,NA,NA,NA,417.75,110,38.3333333333333,518.5,47.5,417.75,2.5,864.5,NA,154,75.5,7.56596576400492e-05,NA,NA,NA,NA,0.00163456385359856,0.000346773430850225,0.000149743072412597,0.000120845286508412,7.56596576400492,NA,NA,NA,NA,NA,163.456385359856,34.6773430850225,14.9743072412597,12.0845286508412,131.695091579711,-0.535248983277781
"584","Karl-Marx-Stadt _ 1985","Karl-Marx-Stadt",1985,315452,16640059,NA,NA,"31/12/85",430,45,48,10,533,NA,NA,NA,NA,1985,1431,23,39,102,1,NA,5,0,NA,796,780,"",NA,4,"4",0,170,154,2260,75,130,1,1,81.6229675293,0,0,1,191.567592095,TRUE,0.969504882645194,2738,-0.0139136650599056,"Karl-Marx-Stadt _ 1985","Karl-Marx-Stadt",1985,1875.9,873,1002.9,970.3,5.9,5.9,203,25671,87,2529,870,"Karl-Marx-Stadt",4558,NA,NA,8137.84664544844,870,801.706757287955,275.794732637612,0.534623380777227,12.6617618099278,39,102,533,430,430,102,39,533,45,430,5,780,7,154,75,7.29112511570699e-05,0.000323345548609614,0.00136312339119739,0.00168963899420514,0.000123632121527205,0.00168963899420514,0.000323345548609614,0.000142652447916006,0.000123632121527205,7.29112511570699,32.3345548609614,136.312339119739,168.963899420514,14.2652447916006,12.3632121527205,168.963899420514,32.3345548609614,14.2652447916006,12.3632121527205,136.312339119739,-0.55420699221336
